"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"410433485350785024","","","2013-12-10 15:39:03 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @CGAP: .@AngazaDesign is one of many companies helping to increase access to clean #energy with innovative financing http://t.co/3MprVvs…","410417524178575360","16244517","2013-12-10 14:35:37 +0000","http://goo.gl/I4YIif,http://goo.gl/I4YIif"
"410112645883109376","","","2013-12-09 18:24:08 +0000","web","RT @thetenthkabir: Tori @angazadesign Klara @plugintheworld @GrundfosUSA see @cgap #dfplus animation from partner event http://t.co/tLYMT8K…","410110025323917312","188281464","2013-12-09 18:13:44 +0000","http://tinyurl.com/oxka66z,http://tinyurl.com/oxka66z"
"410112406480642048","","","2013-12-09 18:23:11 +0000","web","Kenya Power investing in some much needed infrastructure upgrades: http://t.co/fNJ4u07c34, but not enough to service rural poor...","","","","http://www.standardmedia.co.ke/business/article/2000099723/kenya-power-roots-for-industrial-parks-to-stem-losses"
"409789713524875264","","","2013-12-08 21:00:55 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Headed to the Echoing Green All Fellows Conference in D.C. this week! Excited to see many faces, old and new. @echoinggreen #2013fellow","","","",""
"409201158176382976","","","2013-12-07 06:02:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Great time at #HardwareStartupSF meetup; looking forward to trying the desktop pick-and-place robot from @TempoAutomation!","","","",""
"405396620281257984","","","2013-11-26 18:04:20 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @DIVatUSAID: Frm start-up 2 servicing thousands w clean energy. Ready about Lesely, the #entrepreneur behind @angazadesign! http://t.co/…","405393985679527936","355550021","2013-11-26 17:53:52 +0000","http://www.flickr.com/photos/divatusaid/10956470124/,http://www.flickr.com/photos/divatusaid/10956470124/"
"405197645880111105","","","2013-11-26 04:53:41 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @OliverWagg: @EGGenergy's Yang @angazadesign's Marincola discuss pay-as-you solar energy financing at #CleanStart Connect http://t.co/MF…","405197243457630208","165603346","2013-11-26 04:52:05 +0000","http://twitter.com/OliverWagg/status/405197243457630208/photo/1,http://twitter.com/OliverWagg/status/405197243457630208/photo/1"
"405178544562507776","","","2013-11-26 03:37:47 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @echoinggreen: What's your problem? #EGFellows respond: http://t.co/fFE2QicG57 #socent #health #education Thx @GirlTrek @Enstitute @SJP_…","405140210520162304","14886176","2013-11-26 01:05:27 +0000","http://youtu.be/cg7EQaKVblg,http://youtu.be/cg7EQaKVblg"
"403644664642691073","","","2013-11-21 22:02:42 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @moWoza: 9 inspiring teams &amp; their big ideas in Africa, http://t.co/fmy60w0v80 Congrats to @sanagamoses , Lesley @angazadesign, Lauren @…","403540409454190592","19905978","2013-11-21 15:08:25 +0000","http://tmblr.co/ZOfcas_zVvwo,http://tmblr.co/ZOfcas_zVvwo"
"401201559809163264","401193622751563776","119614358","2013-11-15 04:14:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It's great to be back at @TheTechAwards one year later! Such inspiring work. Congrats to all 2013 Tech Awards Laureates! #TheTechAwards","","","",""
"401193622751563776","","","2013-11-15 03:43:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It's great to be back at @TheTechAwards one year later! Such inspiring work. Congrats to all 2013 Tech Awards Laureates!","","","",""
"400452419852570624","","","2013-11-13 02:37:51 +0000","web","New @EnergyAccessSF event coming up! Conversation with @JigarShahDC. More details here: http://t.co/5gjTjUp3gt","","","","http://energyaccess.eventbrite.com"
"398810680913977344","398475732370092032","471922198","2013-11-08 13:54:10 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@Cam_Tellez Thanks Cam! It was a terrific event.","","","",""
"397613808719384576","","","2013-11-05 06:38:13 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @sunfunder: RT @angazadesign: We only need 150 more votes to be eligible for a Chase small biz grant. Please take 5 sec to help: http://…","397369056074145793","411404227","2013-11-04 14:25:40 +0000","http://ow.ly/qrOY4,http://ow.ly/qrOY4"
